sn	patient	batch	sample_name
W0039_4	W0039	batch_4	PRJEB38984_W0039_4
W0040_1	W0040	batch_1	PRJEB38984_W0040_1
W0040_2	W0040	batch_2	PRJEB38984_W0040_2
W0040_3	W0040	batch_3	PRJEB38984_W0040_3
W0040_4	W0040	batch_4	PRJEB38984_W0040_4
W0041_1	W0041	batch_1	PRJEB38984_W0041_1
W0041_2	W0041	batch_2	PRJEB38984_W0041_2
W0041_3	W0041	batch_3	PRJEB38984_W0041_3
W0041_4	W0041	batch_4	PRJEB38984_W0041_4
W0042_1	W0042	batch_1	PRJEB38984_W0042_1
W0042_2	W0042	batch_2	PRJEB38984_W0042_2
W0042_3	W0042	batch_3	PRJEB38984_W0042_3
W0042_4	W0042	batch_4	PRJEB38984_W0042_4
W0043_1	W0043	batch_1	PRJEB38984_W0043_1
W0043_2	W0043	batch_2	PRJEB38984_W0043_2
W0043_3	W0043	batch_3	PRJEB38984_W0043_3
W0043_4	W0043	batch_4	PRJEB38984_W0043_4
W0044_1	W0044	batch_1	PRJEB38984_W0044_1
W0044_2	W0044	batch_2	PRJEB38984_W0044_2
W0044_3	W0044	batch_3	PRJEB38984_W0044_3
W0044_4	W0044	batch_4	PRJEB38984_W0044_4
W0045_1	W0045	batch_1	PRJEB38984_W0045_1
W0045_2	W0045	batch_2	PRJEB38984_W0045_2
W0045_3	W0045	batch_3	PRJEB38984_W0045_3
W0045_4	W0045	batch_4	PRJEB38984_W0045_4
W0046_1	W0046	batch_1	PRJEB38984_W0046_1
W0046_2	W0046	batch_2	PRJEB38984_W0046_2
W0046_3	W0046	batch_3	PRJEB38984_W0046_3
W0046_4	W0046	batch_4	PRJEB38984_W0046_4
W0047_1	W0047	batch_1	PRJEB38984_W0047_1
W0047_2	W0047	batch_2	PRJEB38984_W0047_2
W0047_3	W0047	batch_3	PRJEB38984_W0047_3
W0047_4	W0047	batch_4	PRJEB38984_W0047_4
W0048_1	W0048	batch_1	PRJEB38984_W0048_1
W0048_2	W0048	batch_2	PRJEB38984_W0048_2
W0048_3	W0048	batch_3	PRJEB38984_W0048_3
W0048_4	W0048	batch_4	PRJEB38984_W0048_4
W0049_1	W0049	batch_1	PRJEB38984_W0049_1
W0050_1	W0050	batch_1	PRJEB38984_W0050_1
W0050_2	W0050	batch_2	PRJEB38984_W0050_2
W0050_3	W0050	batch_3	PRJEB38984_W0050_3
W0050_4	W0050	batch_4	PRJEB38984_W0050_4
W0051_1	W0051	batch_1	PRJEB38984_W0051_1
W0051_2	W0051	batch_2	PRJEB38984_W0051_2
W0051_3	W0051	batch_3	PRJEB38984_W0051_3
W0051_4	W0051	batch_4	PRJEB38984_W0051_4
W0052_1	W0052	batch_1	PRJEB38984_W0052_1
